case_id,operator_id,operator,hardware,method,status,reason,latency_us,mode
demo:matmul|modeling:B200_Server|tilesim,demo:matmul,MatMul,modeling:B200_Server,tilesim,unsupported,TileSim 的 GB200 配置缺少理论模式需要的 L0C → L2 带宽参数,,
demo:matmul|modeling:B200_Server|method3,demo:matmul,MatMul,modeling:B200_Server,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:B200_Server|method4,demo:matmul,MatMul,modeling:B200_Server,method4,not_connected,尚未配置评估组件,,
demo:matmul|modeling:B300_POD|profile,demo:matmul,MatMul,modeling:B300_POD,profile,not_connected,尚未接入实测参考,,
demo:matmul|modeling:B300_POD|roofline,demo:matmul,MatMul,modeling:B300_POD,roofline,succeeded,,122.16795864177779,roofline
demo:matmul|modeling:B300_POD|tilesim,demo:matmul,MatMul,modeling:B300_POD,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|modeling:B300_POD|method3,demo:matmul,MatMul,modeling:B300_POD,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:B300_POD|method4,demo:matmul,MatMul,modeling:B300_POD,method4,not_connected,尚未配置评估组件,,
demo:matmul|modeling:B300_Server|profile,demo:matmul,MatMul,modeling:B300_Server,profile,not_connected,尚未接入实测参考,,
demo:matmul|modeling:B300_Server|roofline,demo:matmul,MatMul,modeling:B300_Server,roofline,succeeded,,122.16795864177779,roofline
demo:matmul|modeling:B300_Server|tilesim,demo:matmul,MatMul,modeling:B300_Server,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|modeling:B300_Server|method3,demo:matmul,MatMul,modeling:B300_Server,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:B300_Server|method4,demo:matmul,MatMul,modeling:B300_Server,method4,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H100_POD|profile,demo:matmul,MatMul,modeling:H100_POD,profile,not_connected,尚未接入实测参考,,
demo:matmul|modeling:H100_POD|roofline,demo:matmul,MatMul,modeling:H100_POD,roofline,succeeded,,277.93519407886754,roofline
demo:matmul|modeling:H100_POD|tilesim,demo:matmul,MatMul,modeling:H100_POD,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|modeling:H100_POD|method3,demo:matmul,MatMul,modeling:H100_POD,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H100_POD|method4,demo:matmul,MatMul,modeling:H100_POD,method4,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H100_Server|profile,demo:matmul,MatMul,modeling:H100_Server,profile,not_connected,尚未接入实测参考,,
demo:matmul|modeling:H100_Server|roofline,demo:matmul,MatMul,modeling:H100_Server,roofline,succeeded,,277.93519407886754,roofline
demo:matmul|modeling:H100_Server|tilesim,demo:matmul,MatMul,modeling:H100_Server,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|modeling:H100_Server|method3,demo:matmul,MatMul,modeling:H100_Server,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H100_Server|method4,demo:matmul,MatMul,modeling:H100_Server,method4,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H200_POD|profile,demo:matmul,MatMul,modeling:H200_POD,profile,not_connected,尚未接入实测参考,,
demo:matmul|modeling:H200_POD|roofline,demo:matmul,MatMul,modeling:H200_POD,roofline,succeeded,,277.93519407886754,roofline
demo:matmul|modeling:H200_POD|tilesim,demo:matmul,MatMul,modeling:H200_POD,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|modeling:H200_POD|method3,demo:matmul,MatMul,modeling:H200_POD,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H200_POD|method4,demo:matmul,MatMul,modeling:H200_POD,method4,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H200_Server|profile,demo:matmul,MatMul,modeling:H200_Server,profile,not_connected,尚未接入实测参考,,
demo:matmul|modeling:H200_Server|roofline,demo:matmul,MatMul,modeling:H200_Server,roofline,succeeded,,277.93519407886754,roofline
demo:matmul|modeling:H200_Server|tilesim,demo:matmul,MatMul,modeling:H200_Server,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|modeling:H200_Server|method3,demo:matmul,MatMul,modeling:H200_Server,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:H200_Server|method4,demo:matmul,MatMul,modeling:H200_Server,method4,not_connected,尚未配置评估组件,,
demo:matmul|modeling:R200_Server|profile,demo:matmul,MatMul,modeling:R200_Server,profile,not_connected,尚未接入实测参考,,
demo:matmul|modeling:R200_Server|roofline,demo:matmul,MatMul,modeling:R200_Server,roofline,succeeded,,68.719476736,roofline
demo:matmul|modeling:R200_Server|tilesim,demo:matmul,MatMul,modeling:R200_Server,tilesim,unsupported,TileSim 的 R200 配置缺少理论模式需要的 L0C → L2 带宽参数,,
demo:matmul|modeling:R200_Server|method3,demo:matmul,MatMul,modeling:R200_Server,method3,not_connected,尚未配置评估组件,,
demo:matmul|modeling:R200_Server|method4,demo:matmul,MatMul,modeling:R200_Server,method4,not_connected,尚未配置评估组件,,
demo:matmul|tilesim:910B1|profile,demo:matmul,MatMul,tilesim:910B1,profile,not_connected,尚未接入实测参考,,
demo:matmul|tilesim:910B1|roofline,demo:matmul,MatMul,tilesim:910B1,roofline,unsupported,缺少此型号的 Roofline 规格（矩阵/向量峰值、整卡 HBM 带宽）,,
demo:matmul|tilesim:910B1|tilesim,demo:matmul,MatMul,tilesim:910B1,tilesim,succeeded,,390.8914486042133,dsl-eng
demo:matmul|tilesim:910B1|method3,demo:matmul,MatMul,tilesim:910B1,method3,not_connected,尚未配置评估组件,,
demo:matmul|tilesim:910B1|method4,demo:matmul,MatMul,tilesim:910B1,method4,not_connected,尚未配置评估组件,,
demo:matmul|tilesim:910B4|profile,demo:matmul,MatMul,tilesim:910B4,profile,not_connected,尚未接入实测参考,,
demo:matmul|tilesim:910B4|roofline,demo:matmul,MatMul,tilesim:910B4,roofline,unsupported,缺少此型号的 Roofline 规格（矩阵/向量峰值、整卡 HBM 带宽）,,
demo:matmul|tilesim:910B4|tilesim,demo:matmul,MatMul,tilesim:910B4,tilesim,succeeded,,627.7357897236953,dsl-eng
demo:matmul|tilesim:910B4|method3,demo:matmul,MatMul,tilesim:910B4,method3,not_connected,尚未配置评估组件,,
demo:matmul|tilesim:910B4|method4,demo:matmul,MatMul,tilesim:910B4,method4,not_connected,尚未配置评估组件,,
train:matmul|ascend|profile,train:matmul,MatMul,ascend,profile,not_connected,尚未接入实测参考,,
train:matmul|ascend|roofline,train:matmul,MatMul,ascend,roofline,succeeded,,1.6384,roofline
train:matmul|ascend|tilesim,train:matmul,MatMul,ascend,tilesim,succeeded,,4.441526814082755,dsl-eng
train:matmul|ascend|method3,train:matmul,MatMul,ascend,method3,not_connected,尚未配置评估组件,,
train:matmul|ascend|method4,train:matmul,MatMul,ascend,method4,not_connected,尚未配置评估组件,,
train:matmul|h100|profile,train:matmul,MatMul,h100,profile,not_connected,尚未接入实测参考,,
train:matmul|h100|roofline,train:matmul,MatMul,h100,roofline,succeeded,,0.7825194029850746,roofline
train:matmul|h100|tilesim,train:matmul,MatMul,h100,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|h100|method3,train:matmul,MatMul,h100,method3,not_connected,尚未配置评估组件,,
train:matmul|h100|method4,train:matmul,MatMul,h100,method4,not_connected,尚未配置评估组件,,
train:matmul|h200|profile,train:matmul,MatMul,h200,profile,not_connected,尚未接入实测参考,,
train:matmul|h200|roofline,train:matmul,MatMul,h200,roofline,succeeded,,0.5461333333333334,roofline
